Emotion,Text
disgust,"@wt2themax1 I'm sorry my blanket isn't comfortable enough for you, that kid isn't #hehasfeelingstoo so what if he eats his scabs..."
anger,I had left a student newspaper of the Chinese university on the table of the library.  It had disappeared when I came back.
joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc."
fear,@TShavonne Girl a picture of that book is in my Twitter pics lol. Nah i haven't used it...or rather tried it lol 
surprise,The trouble comes when you realise you've gone from watching reruns to living one. #oh
sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . "
joy,The world can't give you only happiness. One last a lot longer. #GoFigure
anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . 
sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
joy,Oh early morning preachings by my father 
