Emotion,Text
sadness,noooooo pongan super torp la de la maana entendemo que nadi lo pero yo voy levantar para verlo
fear,see stray dog run right pass morehous campu
anger,side effect smoke reefer
fear,year old frequent pursu other got sound thrash
fear,team hot ye sir
fear,dad im scare
joy,cant wait sleep tomorrow must studi tonight tomorrow next night oh essay due
anger,juvenil emot even simpl mind creatur express
anger,suppress annoy call littl sara repli well
joy,time unpack finish homework
surprise,stop today ga small town attend came tell full young clue
surprise,cant wait open christma prezzi
surprise,decor entir hous christma cheer mommi
anger,sli left feel absolut livid
surprise,iemand nog surpris ide voor een vrouw
disgust,im sorri blanket isnt comfort enough kid isnt eat scab
anger,left student newspap chines univers tabl librari disappear came back
joy,choral concert appear solist concert good forgot hard work done remain undescrib joy feel warmth secur etc
fear,girl pictur book twitter pic lol nah havent use itor rather tri lol
surprise,troubl come realis youv gone watch rerun live one
sadness,glanc saw august anguish eye thought understood
joy,world cant give happi one last lot longer
anger,dip cotton wool water dab livid puffi eye
sadness,sad afford welcom given beirut hostag told deepli move audienc agm last month
joy,oh earli morn preach father
joy,rob tribul u hav enter mean provid joy communion w god
surprise,thought id stop say spend christma holiday lake miss
joy,good morn jim
fear,afraid tomorrow saw yesterday love today
anger,soud like neighbour hell
joy,chri paul sum goe clipper idk ill lose
surprise,chocomouss vergt ml slagroom dat heb ik du niet hui en je moet het met de hand kloppen niet met een mixer kansloo
sadness,time lost badminton match zambia close badminton championship
joy,advertis appear novoy russkoy weekend caus buzz excit soviet expatri enclav brighton beach also known littl odessa
fear,lift think im go pass mayb even half decent got third
joy,thrill reunit best friend today rain though find way theater danc show downtown
sadness,brand im afraid
fear,wait till factor love show miss watch
joy,studi day tomorrow day saturday sunday
sadness,saw empti summer shandi box next aunt fridg lien found
fear,nearli year later im drive freeway rush hour without fear conquer feel great
sadness,voic shook face white anguish
sadness,go loner target panach hob lob
joy,would normal push heart rate puls alreadi race due alcohol danc gener parti excit increas notic normal
anger,teacher suspici popular annoy lack interest academ work infuri could still achiev high mark examin
anger,broke artist work sever week chang made broken without permiss right
surprise,net halfuur bezig geweest bij de kraan om de lijm erg te krijgen
joy,took nap hour watch christma movi
sadness,owner mean heartbreak loss famili pet
fear,tien de la taurin dan le croquett friski chat dintrieur
anger,imposs cheat
sadness,afternoon nap burn episod dvd prepar stu hard drive reformat
joy,ill work pmam black friday
neutral,noth
fear,home sleep heard robber break hous
sadness,want english bulldog puppi
anger,disappoint actual consid taylor swift role eponin movi version le mi
joy,wish everyon saw church highlight christma
disgust,link poor perform exodu west east german disgruntl commun
sadness,express commun sympathi mani local children south ronaldsay made sent card four devast mother
sadness,guy friend gon na come window fell asleep came
sadness,make pleasant wonder right
joy,peopl bring joy wherev go peopl bring joy whenev go mark twain
joy,yaay brother said hell play badminton tomorrow
neutral,youd better prepar examin
joy,go concert
fear,public disquiet question common enquiri order jeffrey whereabout
anger,inform flatmat wed move flat shed expect us buy food separet event actual happen month share began prior said noth
fear,afraid tomorrow seen yesterday love today
anger,dont get impress arous anger see one angri respect richard nixon
joy,mani thing morn go swim boat afternoon play basketbal tenni sit around camp fire nightw sing tell stori
joy,arab coffe make happi
fear,feel afraid way great friend look also littl afraid direct go
surprise,met zn en sint gekeken nu lekker slapen en morgen surpris weggeven en ontvangen lopik
joy,morn tweep hope guy great fill
joy,receiv first year result first year involv lot work pleas got result
sadness,got back last histori class next semestr
surprise,im gon na love till star fall sky
anger,terribl furiou impot anger fill make want strike shout scream
sadness,anoth day spent bed realli get life
fear,concer hight today went way top climb sooo proud beat enriqu quad bikingd love girl x
anger,soldier quarrel command may reveng detail duti two success night natur check second night found asleep sent cell
surprise,get readi babi shower work here hope one work follow twitter hahaha surpris
neutral,realli
joy,ladi concert sketchi peopl
neutral,beach
sadness,want sheila know much appreci kind shown earlier mood despond
neutral,everyon school
anger,check weight im get fatter
fear,dnt believ lie look eye plz dnt b scare miss deep
joy,pass form three exam
anger,laugh nt feel offend
joy,throat fire guess ill go doctor tomorrow news tonight success night prais god
neutral,ye someth good inform think mani peopl underestim valu tv educ
fear,strong strong pure bright brave beam light
fear,steven
joy,meet old friend mine
joy,matter old anytim leaf blower air blast closest person bring
fear,man proper geniu
fear,thought fail examin
surprise,even though im mean af person im still buy someth guess
joy,sinc pass dmct last year get spend math hour absolut noth librari
sadness,becam consciou men dont wnat anyth dont goal sex isnt import
surprise,hoe kan je gemakkelijk een gitaar namaken van karton
joy,well special day say surviv first year rest smooth sail
surprise,aunt come visit nice
sadness,seem terribl sad
sadness,day follow brackenburi hasti departur edward despond increas
surprise,ransack meadowsbrewhous last night worth open wallet though
anger,father promis bicycl birthday birthday forgot promis
anger,august shot indign glanc
fear,lose spark haunt everyday
anger,work sever classmat project anxiou project partner show concern meet project classmat pay attent read book other argu irrelev question meet would go two hour without main theme discuss wast time could reach compromis classmat avoid work respons seem valu project one
fear,fear fals evid appear real
joy,son return mountain healthi bodi soul
fear,water level rise near home
joy,way clean mess made urban today
anger,kid brother broke read spectacl
anger,realli mari horribl
fear,close eye wont wake
neutral,look good
disgust,ewww got nasti ass default like cute
joy,doom forget someth shitti luck
fear,america new north korea china germani russia militari control selfspi censor paranoid antagonist
sadness,toot trumpet clown enorm sorrow eye come ringsid seat want run away
joy,lifeguard train tomorrow even
sadness,earlier friend spread neg rumour
anger,newcom feel coldshould local popul occas becom resent almost tribal clannish
disgust,understand mood disgruntl entitl call egm
joy,seein folk overcom limit see dream capac compass
joy,birthday christma right around corner idea want
sadness,funni peopl follow eventu unfollow never follow back
surprise,aww one mom old special ed student like year ago came visit soo cute made day
sadness,use sad pathet miser
joy,bought first xma gift today full love christma time
anger,mean rachel mother ask slowli ignor husband indign look
joy,type get text babi fine move heart beat sinc theyv given rh shot safe babi fine
joy,thanksgiv spend night emeg room
surprise,harri potter dress professor hate sex
sadness,mom ask cole caught deer year mom kill deer
joy,today time work crutch tomorrow
joy,miracl scriptur bc behold virgin shall conceiv bear son shall call name immanuel
fear,talk go well piss play act play danger game
fear,one morn hard graft left day sun food bevi need get plane journey scari shit like
anger,saw brother attack could anyth
fear,concern happen
sadness,im happi never say she thank one best friend
sadness,wonder felt deep sad
fear,good day gym bringin leavin
joy,wear crown cuz deserv
sadness,andar fare shop e tornar mani vuot casa
neutral,dont irrit dont understand program that
joy,holiday see lanscap girona
anger,pretti sure kiss ever play differ song theyr tgif remix piss say gwetta agwilera
joy,minut shard glass slash across rohmer ecstat face
disgust,period poop definit smell like period poop
anger,waiter
fear,intellig put man throne faith put god
joy,get parttim job
anger,believ wed present us joann hardli ever use
anger,noth would satisfi see light leav eye know longer draw breath
anger,hoskyn anoth year live angri univers
surprise,ik wou jou heel persoonlijk benoemen du die nog de maak
fear,lose peopl love
fear,passeng look horrifi
joy,anyon els love smell fella post
joy,bomb physic test
joy,good morn world
sadness,merci wave close heal despair
sadness,rel death
fear,fear keep us night long f h make one fine pillow unk
joy,eat first candi cane season
sadness,consid one world beauti women yesterday everi line etch britt ekland face told stori person anguish
fear,give seminar rather larg audienc
sadness,wish london could go trafalgar squar wish could meet
sadness,ye seem never accept childless marriag fight last night
disgust,smh im realli sad basketbal look forward march mad
joy,got ta put dish deterg tub get dat bubbl action
joy,work work homework
anger,brazil exampl mif summit nt schedul date inaugur new presid next month
fear,son fell cot age month becam nervou thought would caus defect head
joy,excit parti parti tomorrow night one besti miss emma rose xxxx
fear,saw frighten hors edg steep drop
fear,physic assault sexual abus year ago feel might get away intact even aliv produc fear
sadness,fact made asham felt sad
sadness,lol peopl peopl stop arashi fn mic situat ok get point anyway still cant find tmr perf
sadness,dont even know what go thing fold
joy,pretti excit orgelbau dillingen chosen unanim build new organ church
fear,feed prematur babi month babi chock work children ward thought kill babi
fear,your reason lot devot
disgust,holi shit weigh first time sinc colleg put pound semest pure
sadness,brother friend hous noth happen come back home
sadness,total perhap marriag
sadness,school shoot need stop know quick fix school suppos safe
anger,didnt realli intrigu plu campaign end anticlimat nth degre uninstal game
surprise,today eat work paper work lab work paper finish lab eat finish paper
sadness,sometim wish black hairit much eaiser find hair weav
sadness,dad made campfir chocol grahmcrack marshmallowswhat even
joy,im sew walk downstair make pot coffeeand find christma decor full swing got ta love daughter
surprise,okdu de gouden verf van de action stiekem zilvergo om te weten maar vertel het voortaan van tevoren
fear,south africa must worri easili get close line know carl jeremi guscott amongst quickest world
sadness,massiv bust sesh fuck ever break
fear,edg slip win
surprise,freshcam home new flat screen tv
anger,realli reason star cross
surprise,car k search hell didnt find anyth
joy,last cours pass good mark three subject previous fail
fear,goodby farewel long
fear,fuck nigga fear fag caus fear gang destroyin slut
joy,hate train ran one miss second saw drive away half hour wait next one oh
anger,light wifi fuck way make dinner
anger,turn fran faint annoy cross face
sadness,pour moi car je nai pa beaucoup de follow
neutral,damag
joy,wow sound interest excus bit nosi old
fear,dont turn blind eye chang what program insid
sadness,realiz im allerg shampoo great
sadness,prolli gon na happen morn ugh whatev idc anymor
disgust,sicken learn govern acquiesc ec leader issu edinburgh summit sake subsidiar direct drop
anger,experi emot quit often day angri day got pull someth done happen school day spoken word class monitor written name board remark callend get sign parent remark result spank
disgust,gag wenev hear parent say sexci
sadness,told barbara afterward never felt depress
surprise,pizza hut deliv pizza minut earli one top five best pizza ive ever
anger,oh food realli bad soup cold meat ur like leather
sadness,moment realiz youv lost one person alway need wouldnt admit
joy,listen etern joy divis sad mourn beauti mix togeth divis curti
fear,je fai stalker sur par un mec de lge de mon pre je lai refu en ami mai il like tout ce que je fai en public
joy,anyway time settl nice plane ride lot russia read
sadness,mo said im allow get pick school tomorrow didnt go today
sadness,love caitlyn sad miss switch might die
joy,homework rest nightoh lol
joy,solid workout indoor time hw half asleep
disgust,anymor take care wiley bodi hair shouldnt shit first place
anger,wow havent rush adrenalin
fear,lo gak takut pembunuh yang lo takutin adalah hobinya dia kalo lagi bete
joy,brother gave watch
neutral,ok
fear,wonder almost whole week home feel
fear,im discov band miss year ago wish hadnt shelter grow
sadness,look eye saw terribl pain inconsol grief
surprise,thing ruin day real quick
fear,shouldnt domest drone anyway ever heard drone attack wrong target one ever that
joy,im sure ill sick next babi keep cough sneez
anger,want sleep im bad mood right
surprise,good famili pictur what upal kid grammi u know cant wait
fear,goin bring u want corner coz u want end today
neutral,guy
joy,sore throat feel sick stomach
surprise,amir first comment valiant today
fear,voic tetchi alarm
sadness,friend badli hurt
joy,child born
joy,delight left hous julia told margaret
surprise,cherch de pour pour ce samedi soir de merci
surprise,good idea smoke narrat act poem class
sadness,honestli spent wayyy much money im impuls buyer
disgust,newsnight make sick hear rioter justifi action
anger,surnam brother differ often grin home provok other pleasur made angri
anger,teacher former secondari school forc darl marri girl tri refus parent would leav alon
anger,came home one day discov sister borrow car gotten accid entir front bumper destroy
anger,unfair unjust attitud toward person close wit caus anger
shame,play infant game still demand gratifi see flush embarrass tristram cheek
fear,leo demand wrench back stare almost terrorstricken face
joy,let jesu take control emot ie ill feel
joy,garag full bunch drunk peopl
fear,receiv represent matter awar disquiet among group hon gentleman describ
joy,god clearli heard ask yesterday surpris week grabe talaga love niya im tear
joy,saturday duti hour could last peopl want see
surprise,real world rapist dont use lube
sadness,realiz girlfriend fact start process break
sadness,despond renault worker remark seem came close someth new
sadness,receiv brand new seem hate sim card support tell dont know what wrong
joy,offici hate guess
fear,free express revolut
joy,start day build snowman take pictur freshli fallen snow michael bubl cup tea
sadness,oh comput crash
sadness,horribl one thing anoth
anger,ooh look keep copi past joke websit im dick
sadness,littl bit soap enter eye take bath
anger,fuck go school mean look face
joy,hour drive airport wait airport hour hour plane ride follow hour drive home
anger,mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele ancur sudah diet ku
joy,eat everyth kitchenhm must time month
fear,concern room must left duranc would wish
joy,great concert w tonight amaz crowd see yall tomorrow night
joy,look forward noth weekend apart work
joy,younger don ecstat elect
joy,ti worst citi nz grass seed atm howl neer blow air jan itll pine pollen
sadness,pari dream landmust cold thereit almost mid novemb cold weather still
sadness,know mom sometim im sad
anger,mum stingi put water bacardi coke save barcadi
surprise,danni excit go pop tomorrow pass score christma budget fun
joy,simplic would make live much better complic would suck joy life
joy,enjoy friday morn peopl
anger,left behind broken glass tyre mark road anoth exasper shop owner
neutral,want improv handwrit ive practic sever week noth happen see handwrit still bad
joy,pssssh look first snow today mayb sheet ice
sadness,well cut jay cutler fantasi team
surprise,awkward moment your date look realiz pant arent zip
sadness,one attract peopl met year mo take away
anger,look away bitter anger eye
surprise,almost finish bought present ill finish poem tonight finish
anger,hate peopl realli shit tast music serious shut
surprise,despit like appear great indian comedi show alway despit purbi joshi damadamm
fear,year dont intend drive snow especi motorway respect mother natur
neutral,certainli
anger,offa releas detail new access agreement lot new fee waiver great treasuri great student
fear,sometim dont even talk kid give certain look know exactli
anger,dont dont want see anymor dont ever call
sadness,know poorli test
neutral,ok bye
surprise,guess forgot check weather todayi idea suppos snow
neutral,bet
anger,horribl pi callagain lion even show ref alreadi decid happen
joy,right peep im got sister ice skate show go
sadness,sorri know rule punch
joy,riot polic need quell pitch invas ecstat leed unit fan took part carnivalstyl street parti yesterday team parad leagu championship trophi
joy,got engag boy choic
surprise,despit exgger someth smooth itblack humour crazi subplot friend pinto
sadness,determinedli put worri root caus despond behind tri think cheer
joy,slice life azumanga daioh good relax tool busi stress day
sadness,must anoth reason sad said look kindli
sadness,way back inter rail board ferri stockholm father call oclock tell uncl die would see final journey within four day
joy,henri tyler would describ happi woman afterward could say seem unwel
sadness,total woke thought christma morn
joy,nice say
sadness,left gon na back around christma caus may birthday parti
anger,guy sidewalkh three new box panason video camera boxesh said get rid quick
anger,ive situat respons employe habit late came late promis say would work minut arriv hour later drink
anger,dear god make person who mind die ameen
surprise,found idea whichd requir draw differ pictur next day oh boy thatll fun
joy,thought wake go work tomorrow make feel sick
joy,ever america
joy,silver line today though work yummi dinner follow icecream lakeview
surprise,bad check twitter second basi never know peopl say
fear,found problem homework would get solv although tri best
joy,comput magic broke get readyyi
fear,im afraid virus watch video
joy,love highest vibrat univers send shiver spine
neutral,compani decid cancel trip hong kong
surprise,troi jeun engag politiqu gauch pour le global daccord sur le question conomiqu
surprise,feel good back school
surprise,sweet ladi market compliment outfit said your cute probabl gf
fear,know scari realiz go make next paycheck yeah payday pain day away
sadness,bathsheba watch express close never miser
surprise,break hous she town get birthday cake doesnt know
joy,headach three day straight
joy,k im realli homework realli dont want spare start debat
sadness,today wrote todo list ooonli thing gone donewa actual write list
sadness,learn comput broken march go depress
disgust,ew hate chapel hill mall
neutral,go
joy,fact get spend anoth christma yr old nana bring
joy,thing go well elatedwhen hardship come depress true transcend wave circumst
sadness,mccolgan slump deep deject said afterward bad race part
surprise,yeah yeah lol wont know left unless come get
joy,joy creation know natur joy
sadness,cell phone low batteri dont know charger
surprise,final done dust concentr xma card design first sleep
sadness,alreadi got christma present noth open
fear,song realli realli like rt drake write real
sadness,uncl die love much sad felt total helpless
joy,would give anyth nap one ampm day
joy,relax hot bubbl bath complet pamper session bring
surprise,love good surpris morn
anger,feet chair toppl behind face livid knuckl whiteridg aim
fear,ever realli naughti would sent away mum dad anoth famili foster age didnt get mum dad legal adopt
disgust,facebook mei hate whatev u say u get judg ppl r suppos ur friend that stick twitter
anger,thought good friend tri lie sever time last time height impud promis would come home didnt felt sens anger insult
joy,sit next room full person growth laughter
joy,home year old much mountain dew
sadness,got lost come back guess dont realli know town yet
anger,im even sure word express feel game like im speechless
sadness,heartbroken daniel watch go move break golden rule speak spoken
sadness,wish watch friend late night rerun tradit
joy,go bed get christma pictur made tomorrow
surprise,nog stukj van gedicht maken nog steed hahaha
sadness,ando knee injuri till feb
surprise,mindblow inform come mindblowingli soon that right nola new year detail come tonight
joy,hour car ride
joy,e domani parodia di break dawn grazi degli spoiler gu
surprise,im usual bit stalk road work woke quit sunni bodmin whatsapp pleas babe
joy,wear new maroon shirt thank mom dad awesom surpris eat chili visit w parent cook
surprise,klaar wachten op mama dan naar school bij
sadness,summer kati bonni life bonni life suck haha lay sad spot
anger,first ann felt indign joe thought realis good sens warn
sadness,anguish princess say morton told one friend price public life price longer will pay
anger,given exam thought measur abil knowledg subject
neutral,wish store close us open hous day
anger,wheeler fine face flush annoy laugh
joy,there tremend power speak bless wealth success life
fear,babe mia think cri earlier caus stress hope didnt go someth dumb
anger,went lectur cancel second time one neg attitud toward lectur
anger,ye probabl isnt fair
fear,one actgod give us freedom inspit evilshow devil
disgust,havent listen radio long min know
joy,morn weather play part today im dentist later
disgust,wssu look sorri ass excus volleybal game lol smh
joy,behind strain happi smile lie aw knowledg alex saw killer young understand go
fear,norri green bad rememb time got stuck ghetto near sainsburi
fear,arent fckin thing suppos gone time year show spider
joy,joy unspeak joy overflow well tongu tell joy unspeak joy rise soul never let go
fear,im terribl nervou
sadness,everytim hear east coast famili make miss even usual
sadness,ouu ouch hurt dave realli im go go cri corner
joy,head kill got ta studi two hard test tomorrow
anger,sport fishermen catch gull instead fish hook often mistak make angri
sadness,doesnt work like suppos call text back today still day earli x
joy,two week ill b back hand spanish bitch
joy,time long bath inspector mors think pint tea
joy,oh interest larri rocki
joy,soon result interview nearli peopl attend three region malawi joy came hear radio one peopl select undergo medic assist train lsh
sadness,im sorri that bad luck
sadness,yeah bad actual think know
disgust,would undo revuls tonight busi
surprise,might pill dick that go stop bust asain beaver lip owa skeg
fear,nigga keep name mouth aint say face take lil guy
sadness,sooooooooooooo phone broken someth one wan na repli text
joy,well leav ill miss
sadness,happen pay card there balanc left pay cash whatev star
joy,make money event
surprise,go bieber go bieber parti rocker nice big oh ur sexi u know
fear,sure boy wuld soon start baffin toilet sefnew hall boy
joy,ipod die cant find charger
anger,told dana could longer bear atmospher citi rightw bulli falangist deaden work teach mostli bore resent student
joy,gave notic vacat apt morn alreadi look fwd tell rel still singl also poss homeless
sadness,dont know alway said didnt love
joy,blackberri tom woo
joy,squash two fat peopl fallen asleep
joy,cant wait go meet matt parent tomorrow new boyfriend eh kind boyfriend
joy,roanok night christma show bradi bunch
fear,fear noth fals evid appear real tell fear someth
fear,countri walk away other one night suddenli someth move sharpli front abl see
sadness,cant mayb ill luck tomorrow dont knwow hat ill without xtrafactor tbh
joy,good luck test tomorrow well cross finger
surprise,iemand getrokken die ajaxspullen vraagt heeft iemand n creatief ide hoe ik een brandbluss kan maken
anger,teacher love pile homework right christma break dont
fear,meanwhil crow watch carnag unfold end increas horror unfurl stroke class attempt eas situat
joy,work gunna joy weeek hour
fear,wait til feel equip share god done live may never step bring other hope
anger,wit episod christma rage wooooo hoooooo watch peopl lose time year
joy,money motiv feel sorri
joy,still dress need write list long piec string ohhh need find victorian costum sat sun
joy,pass ba exam
surprise,leino earn suspens stupid bourdon ignor realli
surprise,show someon christma list christma list
fear,cat afraid water waterrain rainstorm stormslightn therefor panther lightn
fear,match night vs knew could great blew away
disgust,ugh illiteraci rate memphi
sadness,dark wood came black man lead hors one arm tall grey hound saddest face ever seen creatur
disgust,treadmil stress test
fear,adam afraid gen abram afraid gen sarah afraidgen jacobi afraid gen
fear,umm think water broke get hospit
neutral,enjoy make movi heard stori disagr actor director
anger,clive greenacr put agoraphob wife start express anger callou behaviour also amaz sexual demand start make
surprise,music rick perri antigay antinonchristian ad compos aaron copland gay jewish
sadness,saw santa mall yesterday u needa take pic
joy,work doubl today
surprise,hate find someth watch netflix make cri werent expect
neutral,sure ask direct coffe shop
anger,well guy work hard realli beauti
joy,boyfriend last told love gave impuls kiss
fear,u say sum bout behind back sum u bout
joy,thanksgiv come christma music
fear,hear strang nois biolog build
neutral,would like return book
joy,wouldnt trade feel world carri almost lb babi week go
fear,night walk home past forest somebodi got stab forest imagin someon attack hurri
sadness,fail standard examin first time
sadness,sister coma month due train accid brainfunct disturb never abl walk hardli talk
anger,father phone come home vacat sinc longer time look garden anim
anger,wow bomb rt stolen hate
anger,didnt tell girlfriend
anger,felt wave exasper rise within
anger,ye give much either still hungri
anger,realiz far behind other languag cours could longer catch other
sadness,brother th famili pass away
fear,one horrifi look told daisi alreadi sunk pastern
joy,check mom closet ill bet still someth
sadness,wish motiv homework dont
sadness,didnt get certain job lillehamm want much
joy,alain mother final went insid rueful shake head pleas look face jenna decid risk
surprise,gym grind od week got ta get readi friday night
fear,rt afraid tomorrow seen yesterday love today
anger,mean think funni uptight peopl go normal person rage lol funni anyway
joy,take street madison madrid say pay crisi
joy,studi histori exam day
joy,find make wake morn tie long live live
joy,kany west kinda lyric genu
joy,athelstan gasp excit went round rous coron
fear,live lose lose point life malcolm
anger,colleagu rude didnt understand subject discuss
neutral,she
surprise,pff ik wou dat ik ook al klaar het ide bestaat al lang nu nog de tijd vinden om het te maken en dankjewel
anger,u cant hav r actual ur thought interpret u put moment follow
anger,breakup relationship event upsetsad angri mayb week later
joy,first packer win godfath amc thanksgiv day knowd dayz gawd
sadness,nigel becam despond didnt
joy,terrif thanksgiv hon great one
joy,good day im even drunk
joy,part feel elat close tear
joy,ok let go
fear,mon voisin de train dhier soir sest siffl bire un paquet de nicorett et communiqu avec sa vitr pendant troi heur
sadness,felt sad give someth right mine although didnt get kind souvenir peopl dont give right
joy,music part life grew list kind music amaz sound give love even sex bea
joy,wake love math paper await
joy,heard grapevin get marri
anger,much
joy,mungo felt elat smile back
sadness,take know nois appreci silenc absenc valu presenceth way
anger,insult public
surprise,think christma peopl ask want think realli dnt know grate
fear,greed preval unit state
anger,love up holiday conspir cost comic store busi deliv book waaay late
fear,travel alon unescort first time overnight journey train distant place
joy,best thing recent wed korean know ask im gon na marri girlfriend
joy,get readi day ugh
anger,feel like im get fat oh good
sadness,chang clare charact much hate
sadness,got laid today
fear,think funni call bout laker wont answer tryna hoop hmm
anger,weekend want absent school sport event teacher refus give day didnt like
joy,look bye
shame,also rememb extrem asham racist chant leed fan come night
sadness,mayb still get nerv
joy,time math homework
anger,european consum pressur group angri chaotic state control potentiallyleth product
anger,helsinki finland ap finnish orchestra friday complet record work compos jean sibeliu vanish centuri ago mif critic
joy,hot chocol babi grow watch elf
anger,mr jone explod anger
fear,everi time walk drain think im gon na drop phone
fear,mise jour sur mon galaxi
sadness,look phoeb anguish express nearli honest repent
surprise,rehears fusion band tonightexcit worship set tom night excit tonight
sadness,miss old cartoon network nickelodeon
sadness,go go vacat texa summer unabl go registr
joy,overwhelm scene
neutral,plot new movi
joy,obtain good mark subject fail
joy,omfg open fridg discov screme egg put hour ago complet forgotten pure
fear,warn continu give idea attent soon experi itcheryl janecki
anger,greatest band time creator heavi rock roll satisfact nd best song time
joy,ah ta aqui em casa vamo madruga hoje lol
joy,restaur boyfriend saw best femal friend see two week rejoyc hug long talk
sadness,damn want make blondi open fridg butter
anger,realli made rule
joy,road recoveri start self rediscoveri
joy,well done bon bah mainten il ne te rest plu qu rviser pour le final
fear,u overcom physic emot urg u arriv mind within sphere brain use
joy,night twitter famili sleep math final mean math ever anatomi turn tri kill
joy,studi grind calculu start tomorrow
neutral,oh ye
surprise,la sncf nest pa en grve
surprise,woooooooo ticket success print leav disneyland hr kid still dont know
surprise,absolut wonder love muchyour amaz
fear,heartstop moment think youv pull headphon silent librari
sadness,jessica felt fluster felt devast
fear,ffals eevid aappear rreal
joy,ok want us bring someth
joy,tomorrow gon na suck ass
neutral,shoot pool
joy,lifert long time come cuhz
neutral,ye magazin arriv post begin month everi buy magazin
joy,warden wife owner siames cat overjoy see emili reluctantli fed saucer milk say could stay one night
surprise,best jungl theme parti ever need new theme year
fear,distress anxiou separ friend rapidli develop colic
joy,delici dinner made expert hand wait home
surprise,chercher se fill lecol pour le emmen au mac
fear,noth happen realli thought anyth would although nervou tingl finger
sadness,let live senior year againpleaseil give anyth
sadness,sorri jim
joy,put hope god richli provid us everyth enjoy timothi
joy,ew feel like wan na puke practic like minut
fear,equival power first move backward second move forward
joy,anxious achingli lovingli tho firm precept contrit humbl heart receiv boundless
fear,dj ger schaeubl one know would happen euro fail good confid
sadness,child year old die stupid way fell place metr high
neutral,bye
fear,gorgeou bitch cuuuuhrazi son
sadness,watch sad film affect deepli
sadness,brazilian lover look increasingli disconsol
neutral,ye go take univers cours
sadness,well came pick ipod jam session
joy,woooooooo finish unit portfolio start unit
sadness,told friend mine go mexico good
joy,okay im pretti tire go home soon prob wont sleep till like class hahaha
fear,poor frighten girl pack thing ran say go reno divorc
anger,yeah attitud great realli unreli sometim realli product time take last tuesday instanc fortyf minut late morn meet
sadness,moment heart feel like stab hard swallow
fear,tender age eleven friend left parti proceed walk dark seclud street bad neighborhood find telephon recent spate horror movi watch occur
joy,jenni sat content smile face interchang mother repress irrit anger husband remark
